s-sta-id,s-name,s-lat,s-lng,s-id
3117,Franklin St & Dupont St,40.73564,-73.95866,71
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,71
3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,71
3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,71
3122,48 Ave & 5 St,40.744363287066875,-73.9558732509613,71
3123,31 St & Thomson Ave,40.74469738,-73.93540375,71
3124,46 Ave & 5 St,40.74731,-73.95451,71
3125,45 Rd & 11 St,40.74708586,-73.94977234,71
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,71
3127,9 St & 44 Rd,40.74966,-73.9521,71
3128,21 St & 43 Ave,40.75052534,-73.94594845,71
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,71
3130,21 St & Queens Plaza North,40.75325964,-73.94335788,71
3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,71
3132,E 59 St & Madison Ave,40.76350532,-73.97109243,71
3134,3 Ave & E 62 St,40.76312584,-73.96526895,71
3135,E 75 St & 3 Ave,40.77112927,-73.95772297,71
3136,5 Ave & E 63 St,40.766368,-73.971518,71
3137,5 Ave & E 73 St,40.77282817,-73.96685276,71
3139,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,71
3140,1 Ave & E 78 St,40.77140426,-73.9535166,71
3141,1 Ave & E 68 St,40.76500525,-73.95818491,71
3142,1 Ave & E 62 St,40.7612274,-73.96094022,71
3143,5 Ave & E 78 St,40.77632142182271,-73.96427392959595,71
3144,E 81 St & Park Ave,40.77677702,-73.9590097,71
3145,E 84 St & Park Ave,40.77862688,-73.95772073,71
3146,E 81 St & 3 Ave,40.77573034,-73.9567526,71
3148,E 84 St & 1 Ave,40.77565541,-73.95068615,71
3150,E 85 St & York Ave,40.77536905,-73.94803392,71
3151,E 81 St & York Ave,40.7728384,-73.94989233,71
3152,3 Ave & E 71 St,40.76873687,-73.96119945,71
3154,E 77 St & 3 Ave,40.77314236,-73.95856158,71
3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,71
3156,E 72 St & York Ave,40.76663814,-73.95348296,71
3157,East End Ave & E 86 St,40.77518615,-73.94446054,71
3158,W 63 St & Broadway,40.77163851,-73.98261428,71
3159,W 67 St & Broadway,40.77492513,-73.98266566,71
3160,Central Park West & W 76 St,40.77896784,-73.97374737,71
3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,71
3162,W 78 St & Broadway,40.78339981,-73.98093133,71
3163,Central Park West & W 68 St,40.7734066,-73.97782542,71
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,71
3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,71
3166,Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449,71
3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,71
3168,Central Park West & W 85 St,40.78472675,-73.96961715,71
3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,71
3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,71
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,71
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,71
3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,71
3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,71
3177,W 84 St & Broadway,40.7867947,-73.977112,71
3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,71
3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,71
3182,Yankee Ferry Terminal,40.686931,-74.016966,71
3184,Paulus Hook,40.7141454,-74.0335519,70
3185,City Hall,40.7177325,-74.043845,70
3186,Grove St PATH,40.71958611647166,-74.04311746358871,70
3187,Warren St,40.7211236,-74.03805095,70
3191,Union St,40.7182113,-74.0836394,70
3192,Liberty Light Rail,40.7112423,-74.0557013,70
3193,Lincoln Park,40.7246050998869,-74.07840594649315,70
3194,McGinley Square,40.7253399253558,-74.06762212514877,70
3195,Sip Ave,40.73089709786179,-74.06391263008118,70
3196,Riverview Park,40.7443187,-74.0439909,70
3198,Heights Elevator,40.748715945380226,-74.04044330120087,70
3199,Newport Pkwy,40.7287448,-74.0321082,70
3201,Dey St,40.737711,-74.066921,70
3202,Newport PATH,40.7272235,-74.0337589,70
3203,Hamilton Park,40.727595966,-74.044247311,70
3205,JC Medical Center,40.71653978099194,-74.0496379137039,70
3206,Hilltop,40.7311689,-74.0575736,70
3207,Oakland Ave,40.7376037,-74.0524783,70
3209,Brunswick St,40.7241765,-74.0506564,70
3210,Pershing Field,40.742677141,-74.051788633,70
3211,Newark Ave,40.72152515,-74.046304543,70
3212,Christ Hospital,40.734785818,-74.050443636,70
3213,Van Vorst Park,40.71848892,-74.047726625,70
3214,Essex Light Rail,40.7127742,-74.0364857,70
3220,5 Corners Library,40.734961020009514,-74.0595030784607,70
3221,47 Ave & 31 St,40.743,-73.93561,71
3223,E 55 St & 3 Ave,40.758996559605116,-73.96865397691727,71
3225,Baldwin at Montgomery,40.7236589,-74.0641943,70
3226,W 82 St & Central Park West,40.78275,-73.97137,71
3231,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,71
3232,Bond St & Fulton St,40.68962188790333,-73.98304268717766,71
3235,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,71
3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,71
3241,Monroe St & Tompkins Ave,40.686203,-73.944694,71
3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,71
3243,E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478,71
3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,71
3249,Verona Pl & Fulton St,40.6803560840434,-73.9476791024208,71
3254,Soissons Landing,40.69231660719192,-74.01486575603485,71
3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,71
3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,71
3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189606,71
3260,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,71
3263,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,71
3267,Morris Canal,40.7124188237569,-74.03852552175522,70
3268,Lafayette Park,40.71346382669195,-74.06285852193832,70
3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,70
3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,70
3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,70
3273,Manila & 1st,40.721650724879986,-74.04288411140442,70
3275,Columbus Drive,40.71835519823214,-74.03891444206238,70
3276,Marin Light Rail,40.71458403535893,-74.04281705617905,70
